"dept_name","title","count"
"Sales","Manager",1
"Sales","Senior Staff",10225
"Research","Manager",1
"Research","Senior Engineer",322
"Research","Senior Staff",3449
"Research","Technique Leader",26
"Quality Management","Senior Engineer",3101
"Quality Management","Technique Leader",446
"Production","Senior Engineer",11848
"Production","Senior Staff",200
"Production","Technique Leader",1898
"Marketing","Senior Staff",3581
"Human Resources","Senior Staff",3516
"Finance","Senior Staff",3352
"Development","Senior Engineer",13881
"Development","Senior Staff",178
"Development","Technique Leader",2110
"Customer Service","Senior Engineer",263
"Customer Service","Senior Staff",3753
"Customer Service","Technique Leader",22
